route,stopid,progr_number,stop_name
69x,1982,46,Kylemore Road Junc
84,4221,62,La Touche Road
31a,5062,5,La Vista Avenue
31a,682,70,La Vista Avenue
31b,5062,5,La Vista Avenue
31b,682,70,La Vista Avenue
14,243,71,Lady of Mercy
14,252,5,Lady of Mercy
14c,252,5,Lady of Mercy
27a,1800,20,Lady of Mercy Church
122,1417,46,Lady Of Mercy School
122,1428,6,Lady of Mercy School
16,1294,12,Lady of the Rosary
16,1342,34,Lady of the Rosary
16c,1342,34,Lady of the Rosary
49,1294,12,Lady of the Rosary
49,1342,34,Lady of the Rosary
38,1826,40,Lady's Well Road
38,1828,7,Lady's Well Road
38a,1826,40,Lady's Well Road
38a,1828,7,Lady's Well Road
38b,1826,40,Lady's Well Road
38b,1828,7,Lady's Well Road
65,4100,69,Lake View
65,4102,16,Lake View
15,1123,23,Lakelands Park
15,1161,65,Lakelands Park
49,1123,23,Lakelands Park
49,1161,65,Lakelands Park
65,1123,23,Lakelands Park
65,1161,65,Lakelands Park
65b,1123,23,Lakelands Park
65b,1161,65,Lakelands Park
79,2645,12,Lally Road
79,5134,20,Lally Road
79a,2645,12,Lally Road
79a,5134,20,Lally Road
13,89,69,Lambay Road
39,1888,57,Lambourn
39,1896,15,Lambourn
44b,3491,16,Lambs Cross
44b,3493,11,Lambs Cross
79,2650,17,Landen Road
79,2708,19,Landen Road
79a,2650,17,Landen Road
79a,2708,19,Landen Road
14,1045,52,Landscape Gardens
14,4709,23,Landscape Park
14c,4709,23,Landscape Park
14,1038,25,Landscape Road
14c,1038,25,Landscape Road
140,6365,43,Lanesborough Avenue
140,4985,6,Lanesborough Estate
40,6348,63,Lanesborough Park
40b,6348,63,Lanesborough Park
40b,7350,7,Lanesborough Park
83,6348,63,Lanesborough Park
83,7350,7,Lanesborough Park
83a,6348,63,Lanesborough Park
83a,7350,7,Lanesborough Park
140,7111,42,Lanesborough View
4,2051,2,Lanesville
120,413,10,Lansdowne Park
120,488,68,Lansdowne Park
27x,488,68,Lansdowne Park
4,413,10,Lansdowne Park
4,488,68,Lansdowne Park
7,413,10,Lansdowne Park
7,488,68,Lansdowne Park
7a,413,10,Lansdowne Park
7a,488,68,Lansdowne Park
7d,488,68,Lansdowne Park
120,414,11,Lansdowne Road
27x,414,11,Lansdowne Road
4,414,11,Lansdowne Road
7,414,11,Lansdowne Road
7a,414,11,Lansdowne Road
13,1952,17,Lansdowne Valley
68,1952,17,Lansdowne Valley
69,1952,17,Lansdowne Valley
11,854,36,Larch Grove
44,854,36,Larch Grove
61,854,36,Larch Grove
11,3015,44,Larchfield Road
11,3030,18,Larchfield Road
83,2483,56,Larkfield Grove
83a,2483,56,Larkfield Grove
83,2471,10,Larkfield Park
83,2484,57,Larkfield Park
83a,2471,10,Larkfield Park
83a,2484,57,Larkfield Park
44,207,2,Larkhill Road
44,209,4,Larkhill Road
39,7038,68,Latchfort Court
39a,7038,68,Latchfort Court
39x,7038,68,Latchfort Court
84,4135,45,Lauderdale
68,1971,30,Laurel Park
69,1971,30,Laurel Park
41a,4921,8,Laurelton
41c,4920,53,Laurelton
41c,4921,8,Laurelton
41x,4921,8,Laurelton
25,2245,21,Laurence Brook
26,2245,21,Laurence Brook
66,2245,21,Laurence Brook
66a,2245,21,Laurence Brook
66b,2245,21,Laurence Brook
66e,2245,21,Laurence Brook
67,2245,21,Laurence Brook
29a,919,6,Laurence O'Toole Ch
116,4727,32,Laurence Park
118,4727,32,Laurence Park
145,4727,32,Laurence Park
155,4727,32,Laurence Park
46a,4727,32,Laurence Park
46e,4727,32,Laurence Park
7b,4727,32,Laurence Park
7d,4727,32,Laurence Park
84x,4727,32,Laurence Park
54a,2412,27,Lavarna
15a,1089,28,Lavarna Grove
16,1345,24,Le Vere Terrace
16c,1345,24,Le Vere Terrace
49,1345,24,Le Vere Terrace
54a,1345,24,Le Vere Terrace
9,1345,24,Le Vere Terrace
1,376,18,Lea Road
1,384,36,Lea Road
47,376,18,Lea Road
47,384,36,Lea Road
84,4258,84,Leabeg Lane
84,4262,5,Leabeg Lane
13,2154,13,Lealand Drive
151,2134,41,Lealand Drive
51d,2154,13,Lealand Drive
68,2134,41,Lealand Drive
11,845,30,Leeson St Lower
145,845,30,Leeson St Lower
155,845,30,Leeson St Lower
37,845,30,Leeson St Lower
41x,845,30,Leeson St Lower
46a,845,30,Leeson St Lower
7b,845,30,Leeson St Lower
7d,845,30,Leeson St Lower
11,847,32,Leeson St Upper
11,906,49,Leeson St Upper
116,906,49,Leeson St Upper
118,906,49,Leeson St Upper
145,847,32,Leeson St Upper
145,906,49,Leeson St Upper
155,847,32,Leeson St Upper
155,906,49,Leeson St Upper
32x,906,49,Leeson St Upper
41x,847,32,Leeson St Upper
41x,906,49,Leeson St Upper
46a,847,32,Leeson St Upper
46a,906,49,Leeson St Upper
46e,906,49,Leeson St Upper
7b,847,32,Leeson St Upper
7b,906,49,Leeson St Upper
7d,847,32,Leeson St Upper
7d,906,49,Leeson St Upper
84x,906,49,Leeson St Upper
116,2795,34,Leeson Village
145,2795,34,Leeson Village
155,2795,34,Leeson Village
41x,2795,34,Leeson Village
46a,2795,34,Leeson Village
7b,2795,34,Leeson Village
7d,2795,34,Leeson Village
27a,625,28,Lein Gardens
27a,644,14,Lein Park
33d,3722,46,Leisure Centre
66,3957,46,Leixlip
66,3998,5,Leixlip
66a,3957,46,Leixlip
66a,3998,5,Leixlip
66b,3957,46,Leixlip
66b,3998,5,Leixlip
66e,3957,46,Leixlip
66e,3998,5,Leixlip
66x,3957,46,Leixlip
66x,3998,5,Leixlip
66,3963,52,Leixlip Amenities
66,3987,9,Leixlip Amenities
66x,3987,9,Leixlip Amenities
66e,6156,50,Leixlip GAA Club
66x,6156,50,Leixlip GAA Club
66b,5112,51,Leixlip Park
66x,5112,51,Leixlip Park
25,3949,3,Leixlip Road
25,3950,4,Leixlip Road
25x,3949,3,Leixlip Road
25x,3950,4,Leixlip Road
66,3949,3,Leixlip Road
66,3950,4,Leixlip Road
66a,3949,3,Leixlip Road
66a,3950,4,Leixlip Road
66b,3949,3,Leixlip Road
66b,3950,4,Leixlip Road
66e,3949,3,Leixlip Road
66e,3950,4,Leixlip Road
67,3949,3,Leixlip Road
67,3950,4,Leixlip Road
122,84,18,Leo Street
27a,300,1,Liberty Hall
27b,300,1,Liberty Hall
54a,2594,54,Lifegate Church
65,2594,54,Lifegate Church
25x,4001,27,Liffey Valley Golf
66,4001,27,Liffey Valley Golf
66a,4001,27,Liffey Valley Golf
66b,4001,27,Liffey Valley Golf
66e,4001,27,Liffey Valley Golf
66x,4001,27,Liffey Valley Golf
67,4001,27,Liffey Valley Golf
67x,4001,27,Liffey Valley Golf
25,2213,18,Liffey Valley SC
25,2239,24,Liffey Valley SC
25a,2213,18,Liffey Valley SC
25a,2239,24,Liffey Valley SC
25b,2213,18,Liffey Valley SC
25b,2239,24,Liffey Valley SC
25d,2213,18,Liffey Valley SC
25d,2239,24,Liffey Valley SC
25x,2213,18,Liffey Valley SC
25x,2239,24,Liffey Valley SC
26,4715,32,Liffey Valley SC
26,4795,1,Liffey Valley SC
40,4715,32,Liffey Valley SC
40,4795,1,Liffey Valley SC
51d,2213,18,Liffey Valley SC
51d,2239,24,Liffey Valley SC
66,2213,18,Liffey Valley SC
66,2239,24,Liffey Valley SC
66a,2213,18,Liffey Valley SC
66a,2239,24,Liffey Valley SC
66b,2213,18,Liffey Valley SC
66b,2239,24,Liffey Valley SC
66e,2213,18,Liffey Valley SC
66e,2239,24,Liffey Valley SC
66x,2213,18,Liffey Valley SC
66x,2239,24,Liffey Valley SC
67,2213,18,Liffey Valley SC
67,2239,24,Liffey Valley SC
67x,2213,18,Liffey Valley SC
67x,2239,24,Liffey Valley SC
15a,1104,39,Limekiln Avenue
9,2457,65,Limekiln Avenue
150,1111,19,Limekiln Drive
15a,1111,19,Limekiln Drive
54a,1111,19,Limekiln Drive
9,2453,60,Limekiln Grove
150,2325,11,Limekiln Lane
15a,1102,37,Limekiln Park
15a,1101,36,Limekiln Road
15a,1107,2,Limekiln Road
27a,1005,37,Limewood
27a,962,4,Limewood
13,2137,75,Lindisfarne
51d,2137,75,Lindisfarne
51x,2137,75,Lindisfarne
13,2138,77,Lindisfarne Drive
13,2151,13,Lindisfarne Drive
51d,2138,77,Lindisfarne Drive
51d,2151,13,Lindisfarne Drive
51x,2138,77,Lindisfarne Drive
13,7201,76,Lindisfarne Park
51d,7201,76,Lindisfarne Park
140,186,29,Lindsay Grove
155,186,29,Lindsay Grove
4,186,29,Lindsay Grove
40,186,29,Lindsay Grove
40b,186,29,Lindsay Grove
40d,186,29,Lindsay Grove
83,186,29,Lindsay Grove
83a,186,29,Lindsay Grove
9,186,29,Lindsay Grove
39,2171,70,Linnetfields
39,7388,5,Linnetfields
39a,2171,70,Linnetfields
39a,7388,5,Linnetfields
41,4912,49,Lioscian
41b,4912,49,Lioscian
41c,4912,49,Lioscian
41x,4912,49,Lioscian
65,4012,60,Lisheen View
65,4066,27,Lisheen View
41b,7135,48,Lispopple
33,3715,41,Lissenhall Green
33,6050,58,Lissenhall Green
33x,3715,41,Lissenhall Green
33x,6050,58,Lissenhall Green
65,4009,57,Listeen Road
70,3340,9,Littlepace
70,4325,40,Littlepace
70d,3340,9,Littlepace
70d,4325,40,Littlepace
70,4324,10,Littlepace Gallops
70,4768,16,Littlepace Park
47,5014,2,Littlewood
14,4708,16,Llewellyn Close
14c,4708,16,Llewellyn Close
14,4707,15,Llewellyn Park
14,4712,60,Llewellyn Park
14c,4707,15,Llewellyn Park
40b,1552,67,Logistics Park
83,1552,67,Logistics Park
83a,1552,67,Logistics Park
37,6172,38,Lohunda Close
39,6172,38,Lohunda Close
39,1898,13,Lohunda Cresent
39a,1898,13,Lohunda Cresent
39a,6107,62,Lohunda Park
39a,6113,12,Lohunda Park
39x,6107,62,Lohunda Park
39x,6113,12,Lohunda Park
37,4903,35,Lohunda Road
39,4903,35,Lohunda Road
49,2635,39,Lombard Street West
54a,2635,39,Lombard Street West
49,2387,6,Long Lane
54a,2387,6,Long Lane
13,1958,23,Long Mile Road
151,2181,22,Long Mile Road
151,2726,27,Long Mile Road
151,6141,20,Long Mile Road
56a,2181,22,Long Mile Road
56a,2726,27,Long Mile Road
68,1958,23,Long Mile Road
69,1958,23,Long Mile Road
40,2709,50,Longmeadows
122,1289,42,Longwood Avenue
16,1289,42,Longwood Avenue
68,1289,42,Longwood Avenue
68a,1289,42,Longwood Avenue
9,1289,42,Longwood Avenue
9,2436,14,Lorcan O'Toole Park
123,1935,21,Lord Edward Street
123,2002,44,Lord Edward Street
13,1935,21,Lord Edward Street
13,2002,44,Lord Edward Street
27,2002,44,Lord Edward Street
40,1935,21,Lord Edward Street
40,2002,44,Lord Edward Street
49,2002,44,Lord Edward Street
68x,2002,44,Lord Edward Street
747,1935,21,Lord Edward Street
747,2002,44,Lord Edward Street
77a,2002,44,Lord Edward Street
77x,2002,44,Lord Edward Street
84,4210,50,Lord Meaths Gate
84,4302,40,Lord Meaths Gate
84x,4210,50,Lord Meaths Gate
84x,4302,40,Lord Meaths Gate
61,1309,18,Loreto Avenue
61,1318,32,Loreto Avenue
151,1409,20,Loreto College
27,1409,20,Loreto College
56a,1409,20,Loreto College
77a,1409,20,Loreto College
16,1328,15,Loretto Convent
16c,1328,15,Loretto Convent
16,1320,63,Loretto Terrace
84,4251,77,Lott Lane
84,4269,13,Lott Lane
7a,3221,60,Loughlinstown Drive
7a,3223,2,Loughlinstown Drive
7a,3222,1,Loughlinstown Park
70,3329,42,Loughsallagh
70,3337,6,Loughsallagh
70d,3329,42,Loughsallagh
70d,3337,6,Loughsallagh
33,3787,74,Loughshinny Cross
33,3829,26,Loughshinny Cross
33x,3787,74,Loughshinny Cross
33x,3829,26,Loughshinny Cross
66,3962,51,Louisa Bridge Stn
66,3989,10,Louisa Bridge Stn
66x,3989,10,Louisa Bridge Stn
11,3021,50,Lower Kilmacud Rd
25a,4616,40,Lucan Comm College
25a,4620,1,Lucan Comm College
25d,4616,40,Lucan Comm College
25d,4620,1,Lucan Comm College
25x,3366,36,Lucan Heights
25x,3373,31,Lucan Heights
66,3366,36,Lucan Heights
66,3373,31,Lucan Heights
66a,3366,36,Lucan Heights
66a,3373,31,Lucan Heights
66b,3366,36,Lucan Heights
66b,3373,31,Lucan Heights
66e,3366,36,Lucan Heights
66e,3373,31,Lucan Heights
67,3366,36,Lucan Heights
67,3373,31,Lucan Heights
25a,4624,6,Lucan Leisure Centre
25,2234,18,Lucan Retail Park
25a,2234,18,Lucan Retail Park
25b,2234,18,Lucan Retail Park
25x,2234,18,Lucan Retail Park
66,2234,18,Lucan Retail Park
66a,2234,18,Lucan Retail Park
66b,2234,18,Lucan Retail Park
66e,2234,18,Lucan Retail Park
67,2234,18,Lucan Retail Park
25,2197,20,Lucan Road
26,2197,20,Lucan Road
26,2202,27,Lucan Road
66,2197,20,Lucan Road
66a,2197,20,Lucan Road
66b,2197,20,Lucan Road
66e,2197,20,Lucan Road
67,2197,20,Lucan Road
66,7186,41,Lucan Spa Hotel
66a,7186,41,Lucan Spa Hotel
66b,7186,41,Lucan Spa Hotel
66e,7186,41,Lucan Spa Hotel
66x,7186,41,Lucan Spa Hotel
67,7186,41,Lucan Spa Hotel
67x,7186,41,Lucan Spa Hotel
25,2224,37,Lucan Village
25x,3367,37,Lucan Village
25x,3372,30,Lucan Village
66,3367,37,Lucan Village
66,3372,30,Lucan Village
66a,3367,37,Lucan Village
66a,3372,30,Lucan Village
66b,3367,37,Lucan Village
66b,3372,30,Lucan Village
66e,3367,37,Lucan Village
66e,3372,30,Lucan Village
67,3367,37,Lucan Village
67,3372,30,Lucan Village
142,2897,5,Luke's Crescent
44,2897,5,Luke's Crescent
61,2897,5,Luke's Crescent
33,3766,54,Lusk House
33,3852,45,Lusk House
33x,3766,54,Lusk House
33x,3852,45,Lusk House
33,3761,49,Lusk Road
33x,3761,49,Lusk Road
37,4894,53,Luttrellstown Court
37,4897,8,Luttrellstown Court
151,7015,3,Lynch's Lane
151,7016,47,Lynch's Lane
14,2843,4,Lynwood
14c,2843,4,Lynwood
67,3913,64,M4 Interchange Park
67,3920,6,M4 Interchange Park
67x,3913,64,M4 Interchange Park
44,7375,57,M50 Bridge
40b,1550,65,M50 Flyover
40b,1557,5,M50 Flyover
83,1550,65,M50 Flyover
83,1557,5,M50 Flyover
83a,1550,65,M50 Flyover
83a,1557,5,M50 Flyover
53,4380,1,Mabbot Street
53a,4380,1,Mabbot Street
65b,4932,4,Magna Drive
77a,4932,4,Magna Drive
77x,4932,4,Magna Drive
25,2229,5,Main St Lucan
33d,7691,44,Main Street
31,560,48,Main Street Howth
31,575,9,Main Street Howth
31a,560,48,Main Street Howth
31a,575,9,Main Street Howth
25,2223,36,Main Street Lucan
32x,3640,41,Malahide Castle
42,3639,27,Malahide Castle
42,3640,41,Malahide Castle
142,3628,52,Malahide Comm School
142,3630,8,Malahide Comm School
42,3628,52,Malahide Comm School
42,3630,8,Malahide Comm School
42d,3628,52,Malahide Comm School
42d,3630,8,Malahide Comm School
42,3580,40,Malahide Demense
42,3644,28,Malahide Demense
142,6053,5,Malahide Golf Club
42,6053,5,Malahide Golf Club
42d,6053,5,Malahide Golf Club
14,669,12,Malahide Road
15,669,12,Malahide Road
27,669,12,Malahide Road
27a,669,12,Malahide Road
27b,669,12,Malahide Road
41,6054,45,Malahide Road
41b,6054,45,Malahide Road
42,669,12,Malahide Road
43,6054,45,Malahide Road
43,669,12,Malahide Road
142,3585,48,Malahide Station
142,3634,12,Malahide Station
32x,3585,48,Malahide Station
32x,3634,12,Malahide Station
42,3585,48,Malahide Station
42,3634,12,Malahide Station
42d,3585,48,Malahide Station
42d,3634,12,Malahide Station
32,4387,57,Malahide Village
32x,4387,57,Malahide Village
16,3669,26,Maldron Hotel
16c,3669,26,Maldron Hotel
41,3669,26,Maldron Hotel
747,3669,26,Maldron Hotel
757,3669,26,Maldron Hotel
84,4280,23,Manor Avenue
69,5122,21,Manor Drive
37,1649,32,Manor Street
37,1713,44,Manor Street
39,1649,32,Manor Street
39,1713,44,Manor Street
39a,1649,32,Manor Street
39a,1713,44,Manor Street
39x,1649,32,Manor Street
39x,1713,44,Manor Street
70,1649,32,Manor Street
70,1713,44,Manor Street
39,7020,66,Manorfields Drive
39,7021,9,Manorfields Drive
39a,7020,66,Manorfields Drive
39a,7021,9,Manorfields Drive
11,36,3,Maolbuille Road
11,4848,60,Maple Avenue
116,4848,60,Maple Avenue
37,1683,15,Maple Glen
69,3439,52,Maple Grove
69,3448,7,Maple Grove
27,2359,47,Maplewood Avenue
54a,2359,47,Maplewood Avenue
56a,2359,47,Maplewood Avenue
65,2359,47,Maplewood Avenue
77a,2359,47,Maplewood Avenue
56a,2748,49,Maplewood Road
120,5147,4,Marian College
40e,5147,4,Marian College
70d,5147,4,Marian College
15b,1137,15,Marian Crescent
15d,1137,15,Marian Crescent
46e,4354,15,Marian Park
15b,1135,33,Marian Road
15d,1135,33,Marian Road
120,5144,21,Marian School
40e,5144,21,Marian School
70d,5144,21,Marian School
27,1265,86,Marigold Avenue
27x,1265,86,Marigold Avenue
27,1269,85,Marigold Road
27x,1269,85,Marigold Road
31,571,5,Mariners Cove
31a,571,5,Mariners Cove
123,1489,44,Marino Church
123,1492,2,Marino Church
130,523,11,Marino College
14,523,11,Marino College
15,523,11,Marino College
27,523,11,Marino College
27a,523,11,Marino College
27b,523,11,Marino College
27x,523,11,Marino College
29a,523,11,Marino College
31,523,11,Marino College
31a,523,11,Marino College
31b,523,11,Marino College
32,523,11,Marino College
42,523,11,Marino College
43,523,11,Marino College
14,668,43,Marino Crescent Park
14c,668,43,Marino Crescent Park
15,668,43,Marino Crescent Park
27,668,43,Marino Crescent Park
27a,668,43,Marino Crescent Park
27b,668,43,Marino Crescent Park
29a,613,36,Marino Crescent Park
31,613,36,Marino Crescent Park
31a,613,36,Marino Crescent Park
31b,613,36,Marino Crescent Park
32,613,36,Marino Crescent Park
42,668,43,Marino Crescent Park
43,668,43,Marino Crescent Park
123,1496,7,Marino Green
123,1482,4,Marino Institute
123,1487,42,Marino Institute
123,1515,8,Marino Park
151,2379,36,Marion Villas
27,2379,36,Marion Villas
56a,2379,36,Marion Villas
77a,2379,36,Marion Villas
77x,2379,36,Marion Villas
40,2711,52,Markievicz Park
40,2714,25,Markievicz Park
79,2647,14,Markievicz Park
79a,2647,14,Markievicz Park
46a,809,3,Marlborough Road
14,4333,58,Marley Court
14,4336,17,Marley Court
14c,4336,17,Marley Court
116,2969,72,Marley Park
116,2979,7,Marley Park
16,2969,72,Marley Park
16,2979,7,Marley Park
16c,2979,7,Marley Park
54a,5161,1,Marlfield
77x,5161,1,Marlfield
54a,5024,45,Marlfield Drive
77x,5024,45,Marlfield Drive
33d,3732,1,Marsh Lane
27b,1224,22,Maryfield Crescent
27b,1240,31,Maryfield Crescent
14,248,75,Maryfield Drive
14c,248,75,Maryfield Drive
27b,1225,23,Maryfield Drive
15,1199,20,Mask Avenue
15,1275,33,Mask Avenue
27,1199,20,Mask Avenue
27,1275,33,Mask Avenue
27x,1199,20,Mask Avenue
27x,1275,33,Mask Avenue
42,1199,20,Mask Avenue
42,1275,33,Mask Avenue
43,1199,20,Mask Avenue
43,1275,33,Mask Avenue
27a,1799,19,Mask Crescent
15,1276,34,Mask Park
27,1276,34,Mask Park
27x,1276,34,Mask Park
42,1276,34,Mask Park
43,1276,34,Mask Park
120,817,41,Mater Hospital
122,54,35,Mater Hospital
122,83,17,Mater Hospital
38,817,41,Mater Hospital
38a,817,41,Mater Hospital
38b,817,41,Mater Hospital
38d,817,41,Mater Hospital
46a,817,41,Mater Hospital
47,2081,15,Mather Road North
140,6362,45,Mayeston Lawn
32,3623,56,Mayfair
32x,3623,56,Mayfair
15,1221,38,Mayfield Park
27,1221,38,Mayfield Park
27a,1221,38,Mayfield Park
27b,1221,38,Mayfield Park
27x,1221,38,Mayfield Park
42,1221,38,Mayfield Park
43,1221,38,Mayfield Park
123,1369,17,Mayfield Road
123,1378,57,Mayfield Road
68,1369,17,Mayfield Road
68,1378,57,Mayfield Road
68a,1369,17,Mayfield Road
68a,1378,57,Mayfield Road
116,2860,68,Mayfield Terrace
14,2860,68,Mayfield Terrace
66,3981,3,Maynooth
66,5113,58,Maynooth
66e,3981,3,Maynooth
66e,5113,58,Maynooth
66x,3981,3,Maynooth
66x,5113,58,Maynooth
67,3908,58,Maynooth Road
66,3966,57,Maynooth SC
66,3982,4,Maynooth SC
66e,3966,57,Maynooth SC
66e,3982,4,Maynooth SC
66x,3966,57,Maynooth SC
66x,3982,4,Maynooth SC
67,3917,1,Maynooth Station
151,5140,4,Mayor Street Lower
747,5140,4,Mayor Street Lower
31,538,27,Maywood
31,597,30,Maywood
31a,538,27,Maywood
31a,597,30,Maywood
31b,538,27,Maywood
31b,597,30,Maywood
31d,538,27,Maywood
31d,597,30,Maywood
32,538,27,Maywood
32,597,30,Maywood
37,1708,40,Mc Kee Park
27a,1797,17,McAuley Drive
27a,1785,25,McAuley Park
27a,1786,26,McAuley Park
27a,1796,16,McAuley Park
27a,1783,23,McAuley Road
27a,1798,18,McAuley Road
65,4008,55,McDonagh's Lane
65,4070,31,McDonagh's Lane
40,2957,3,McKee Avenue
40,4937,80,McKee Avenue
40,1547,81,McKee Avenue Est
40,2958,4,McKee Avenue Est
37,1656,23,McKee Park
9,136,6,McKee Road
9,4479,62,McKee Road
140,1280,38,McKelvey Avenue
140,1558,10,McKelvey Avenue
40,1280,38,McKelvey Avenue
40,1558,10,McKelvey Avenue
40b,1280,38,McKelvey Avenue
40b,1558,10,McKelvey Avenue
14,1052,19,Meadow Grove
14c,1052,19,Meadow Grove
84,3123,12,Meadow Vale
84,3154,76,Meadow Vale
84a,3123,12,Meadow Vale
84a,3154,76,Meadow Vale
14,1049,57,Meadow Villas
15b,2917,25,Meadowbank
15b,2986,23,Meadowbank
15d,2917,25,Meadowbank
15d,2986,23,Meadowbank
65,2579,48,Meagan's Lane
65,2586,38,Meagan's Lane
140,6230,8,Meakstown Centre
83,6230,8,Meakstown Centre
83a,6230,8,Meakstown Centre
9,6230,8,Meakstown Centre
40b,983,23,Mellowes Road
40d,983,23,Mellowes Road
13,2139,78,Melrose
13,2150,9,Melrose
51d,2139,78,Melrose
51d,2150,9,Melrose
51x,2139,78,Melrose
123,1481,39,Melrose Avenue
140,6228,9,Melville
140,6229,62,Melville
83,6228,9,Melville
83,6229,62,Melville
83a,6228,9,Melville
83a,6229,62,Melville
9,6228,9,Melville
9,6229,62,Melville
25a,7012,13,Memorial Gardens
25a,7435,28,Memorial Gardens
25b,7012,13,Memorial Gardens
25b,7435,28,Memorial Gardens
25d,7012,13,Memorial Gardens
25d,7435,28,Memorial Gardens
25x,7012,13,Memorial Gardens
25x,7435,28,Memorial Gardens
51d,7012,13,Memorial Gardens
51d,7435,28,Memorial Gardens
51x,7435,28,Memorial Gardens
66x,7012,13,Memorial Gardens
66x,7435,28,Memorial Gardens
67x,7012,13,Memorial Gardens
67x,7435,28,Memorial Gardens
69,7435,28,Memorial Gardens
69x,7435,28,Memorial Gardens
79,7435,28,Memorial Gardens
79a,7012,13,Memorial Gardens
79a,7435,28,Memorial Gardens
145,1444,28,Merchant's Quay
25,1444,28,Merchant's Quay
25a,1444,28,Merchant's Quay
25b,1444,28,Merchant's Quay
25d,1444,28,Merchant's Quay
25x,1444,28,Merchant's Quay
26,1444,28,Merchant's Quay
37,1444,28,Merchant's Quay
39,1444,28,Merchant's Quay
39a,1444,28,Merchant's Quay
51d,1444,28,Merchant's Quay
66,1444,28,Merchant's Quay
66a,1444,28,Merchant's Quay
66b,1444,28,Merchant's Quay
66e,1444,28,Merchant's Quay
66x,1444,28,Merchant's Quay
67,1444,28,Merchant's Quay
67x,1444,28,Merchant's Quay
69,1444,28,Merchant's Quay
69x,1444,28,Merchant's Quay
70,1444,28,Merchant's Quay
79,1444,28,Merchant's Quay
79a,1444,28,Merchant's Quay
53,2262,18,Merchants Road
27x,420,17,Merlyn Road
4,420,17,Merlyn Road
7,420,17,Merlyn Road
7a,420,17,Merlyn Road
27x,479,47,Merrion Centre
4,479,47,Merrion Centre
7,479,47,Merrion Centre
7a,479,47,Merrion Centre
4,424,21,Merrion Gates
4,476,56,Merrion Gates
7,424,21,Merrion Gates
7,476,56,Merrion Gates
7a,424,21,Merrion Gates
7a,476,56,Merrion Gates
7d,476,56,Merrion Gates
84a,476,56,Merrion Gates
27x,417,65,Merrion Road
4,417,65,Merrion Road
4,425,22,Merrion Road
7,417,65,Merrion Road
7,425,22,Merrion Road
7a,417,65,Merrion Road
7a,425,22,Merrion Road
7d,417,65,Merrion Road
120,408,5,Merrion Sq North
27x,408,5,Merrion Sq North
4,408,5,Merrion Sq North
7,408,5,Merrion Sq North
7a,408,5,Merrion Sq North
25,7390,40,Merrion Sq South
25,7391,1,Merrion Sq South
25a,7390,40,Merrion Sq South
25a,7391,1,Merrion Sq South
25b,7390,40,Merrion Sq South
25b,7391,1,Merrion Sq South
25d,7390,40,Merrion Sq South
25d,7391,1,Merrion Sq South
26,7387,55,Merrion Sq South
26,7391,1,Merrion Sq South
66,7387,55,Merrion Sq South
66,7391,1,Merrion Sq South
66a,7387,55,Merrion Sq South
66a,7391,1,Merrion Sq South
66b,7387,55,Merrion Sq South
66b,7391,1,Merrion Sq South
66e,7387,55,Merrion Sq South
66e,7391,1,Merrion Sq South
67,7385,65,Merrion Sq South
67,7391,1,Merrion Sq South
142,2810,64,Merrion Sq West
25x,2810,64,Merrion Sq West
26,2810,64,Merrion Sq West
32x,2810,64,Merrion Sq West
33x,2810,64,Merrion Sq West
39x,2810,64,Merrion Sq West
41x,2810,64,Merrion Sq West
44,2810,64,Merrion Sq West
51d,2810,64,Merrion Sq West
51x,2810,64,Merrion Sq West
61,2810,64,Merrion Sq West
66,2810,64,Merrion Sq West
66a,2810,64,Merrion Sq West
66b,2810,64,Merrion Sq West
66e,2810,64,Merrion Sq West
66x,2810,64,Merrion Sq West
67,2810,64,Merrion Sq West
67x,2810,64,Merrion Sq West
77x,2810,64,Merrion Sq West
44,2811,27,Merrion Street
51d,2811,27,Merrion Street
61,2811,27,Merrion Street
757,2811,27,Merrion Street
4,421,18,Merrion View Avenue
7,421,18,Merrion View Avenue
7a,421,18,Merrion View Avenue
11,886,46,Merton Drive
44,886,46,Merton Drive
61,886,46,Merton Drive
118,2065,31,Merville Road
145,2065,31,Merville Road
155,2065,31,Merville Road
46a,2065,31,Merville Road
38,7333,1,Mespil Hotel
38a,7333,1,Mespil Hotel
38b,7333,1,Mespil Hotel
38d,7333,1,Mespil Hotel
39,7333,1,Mespil Hotel
39x,7333,1,Mespil Hotel
70,7333,1,Mespil Hotel
83,153,44,Met Eireann
83,182,25,Met Eireann
83a,153,44,Met Eireann
83a,182,25,Met Eireann
155,4170,2,Methodist Church
84,4170,2,Methodist Church
84a,4170,2,Methodist Church
151,6011,38,Michael Collins Park
151,6014,13,Michael Collins Park
68,6011,38,Michael Collins Park
68,6014,13,Michael Collins Park
68x,6014,13,Michael Collins Park
33d,3725,50,Middlefield Lane
27a,1793,3,Milbrook Grove
43,5086,10,Milesian Court
37,4458,25,Military Cemetery
14,1019,10,Military Road
140,1019,10,Military Road
142,1019,10,Military Road
15,1019,10,Military Road
15a,1019,10,Military Road
15b,1019,10,Military Road
15d,1019,10,Military Road
25,2194,17,Military Road
25,2248,24,Military Road
26,2194,17,Military Road
26,2248,24,Military Road
65,1019,10,Military Road
65b,1019,10,Military Road
66,2194,17,Military Road
66,2248,24,Military Road
66a,2194,17,Military Road
66a,2248,24,Military Road
66b,2194,17,Military Road
